[2026-04-16 16:41:47.377 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #84 ReqTime:"2026-04-16T16:41:47.3751009+05:30" Duration:1ms
[2026-04-16 16:41:47.382 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #85 ReqTime:"2026-04-16T16:41:47.3797978+05:30" Duration:1ms
[2026-04-16 16:41:47.386 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #86 ReqTime:"2026-04-16T16:41:47.3843461+05:30" Duration:1ms
[2026-04-16 16:41:47.391 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #87 ReqTime:"2026-04-16T16:41:47.3893086+05:30" Duration:1ms
[2026-04-16 16:41:47.396 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #88 ReqTime:"2026-04-16T16:41:47.3941512+05:30" Duration:1ms
[2026-04-16 16:41:47.400 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #89 ReqTime:"2026-04-16T16:41:47.3985642+05:30" Duration:1ms
[2026-04-16 16:41:47.405 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #90 ReqTime:"2026-04-16T16:41:47.4031035+05:30" Duration:1ms
[2026-04-16 16:41:47.410 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #91 ReqTime:"2026-04-16T16:41:47.4078996+05:30" Duration:1ms
[2026-04-16 16:41:47.414 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #92 ReqTime:"2026-04-16T16:41:47.4120653+05:30" Duration:1ms
[2026-04-16 16:41:47.418 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #93 ReqTime:"2026-04-16T16:41:47.4161849+05:30" Duration:0ms
[2026-04-16 16:41:47.423 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #94 ReqTime:"2026-04-16T16:41:47.4205609+05:30" Duration:1ms
[2026-04-16 16:41:47.427 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #95 ReqTime:"2026-04-16T16:41:47.4253785+05:30" Duration:1ms
[2026-04-16 16:41:47.431 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #96 ReqTime:"2026-04-16T16:41:47.4297331+05:30" Duration:1ms
[2026-04-16 16:41:47.437 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #97 ReqTime:"2026-04-16T16:41:47.4341899+05:30" Duration:1ms
[2026-04-16 16:41:47.443 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #98 ReqTime:"2026-04-16T16:41:47.4406447+05:30" Duration:1ms
[2026-04-16 16:41:47.448 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #99 ReqTime:"2026-04-16T16:41:47.4459279+05:30" Duration:1ms
[2026-04-16 16:41:47.453 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #100 ReqTime:"2026-04-16T16:41:47.4508211+05:30" Duration:1ms
[2026-04-16 16:41:48.989 INF] [ACK] TypeMID:210c0348e116 DeviceID:100 Claimed:1 Updated:1 TrnIDs:[30123] AvgDelay:0s MaxDelay:0s ReqTime:16:41:48.954 Duration:31ms
[2026-04-16 16:41:52.474 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #101 ReqTime:"2026-04-16T16:41:52.4672861+05:30" Duration:5ms
[2026-04-16 16:41:52.479 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #102 ReqTime:"2026-04-16T16:41:52.4767016+05:30" Duration:1ms
[2026-04-16 16:41:52.484 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #103 ReqTime:"2026-04-16T16:41:52.4819207+05:30" Duration:1ms
[2026-04-16 16:41:52.489 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #104 ReqTime:"2026-04-16T16:41:52.4867686+05:30" Duration:1ms
[2026-04-16 16:41:52.494 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #105 ReqTime:"2026-04-16T16:41:52.4919321+05:30" Duration:1ms
[2026-04-16 16:41:52.499 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #106 ReqTime:"2026-04-16T16:41:52.4966338+05:30" Duration:1ms
[2026-04-16 16:41:52.503 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #107 ReqTime:"2026-04-16T16:41:52.5010967+05:30" Duration:1ms
[2026-04-16 16:41:52.508 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #108 ReqTime:"2026-04-16T16:41:52.5056770+05:30" Duration:1ms
[2026-04-16 16:41:52.512 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #109 ReqTime:"2026-04-16T16:41:52.5102455+05:30" Duration:1ms
[2026-04-16 16:41:52.516 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #110 ReqTime:"2026-04-16T16:41:52.5146946+05:30" Duration:1ms
[2026-04-16 16:41:52.520 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #111 ReqTime:"2026-04-16T16:41:52.5185236+05:30" Duration:1ms
[2026-04-16 16:41:52.525 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #112 ReqTime:"2026-04-16T16:41:52.5231652+05:30" Duration:1ms
[2026-04-16 16:41:52.529 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #113 ReqTime:"2026-04-16T16:41:52.5274590+05:30" Duration:1ms
